name,segment,vertical_role,posture,segment_typical_coding,source
v0 (Vercel),AI-native,App builder,M,yes,"altar.io, 2026"
Base44 (Wix),AI-native,App builder,M,no,"altar.io, 2026"
Create.xyz,AI-native,App builder,M,yes,"altar.io, 2026"
Jasper,AI-native,Marketing copywriting,M,no,"The Information, 2023"
Copy.ai,AI-native,Marketing / GTM copy,M,yes,"Wellows, 2026"
Writesonic,AI-native,Marketing copywriting,M,yes,"Wellows, 2026"
Rytr,AI-native,Writing assistant,M,yes,"Wellows, 2026"
Sudowrite,AI-native,Fiction writing,M,yes,"Wellows, 2026"
Writer,AI-native,Enterprise writing (own models),O,no,"Wellows, 2026"
Typeface,AI-native,Enterprise content,M,yes,"CB Insights, 2025"
Jenni AI,AI-native,Academic writing,M,yes,"Wellows, 2026"
Anyword,AI-native,Marketing copy,M,yes,"Wellows, 2026"
Perplexity,AI-native,Answer engine / search,M,no,"Upstarts Media, 2025"
Glean,AI-native,Enterprise search / agents,M,yes,"Wellows, 2026"
Hebbia,AI-native,Document intelligence (finance),M,yes,"CB Insights, 2025"
You.com,AI-native,Answer engine / search,M,no,"CB Insights, 2025"
Dashworks,AI-native,Enterprise knowledge assistant,M,yes,"Wellows, 2026"
Sana AI,AI-native,Enterprise knowledge / learning,M,yes,"CB Insights, 2025"
Dust,AI-native,Enterprise agent platform,M,no,"CB Insights, 2025"
Harvey,AI-native,Legal AI,M,no,"Harvey, 2025"
Robin AI,AI-native,Contract AI,M,yes,"CB Insights, 2025"
Spellbook,AI-native,Contract drafting,M,yes,"CB Insights, 2025"
Luminance,AI-native,Legal document analysis,M,yes,"CB Insights, 2025"
EvenUp,AI-native,Personal-injury legal AI,M,yes,"CB Insights, 2025"
Legora,AI-native,Collaborative legal AI,M,yes,"CB Insights, 2025"
DraftWise,AI-native,Contract drafting,M,yes,"CB Insights, 2025"
Decagon,AI-native,Customer-support agents,M,yes,"Upstarts Media, 2025"
Sierra,AI-native,Customer-experience agents,M,yes,"Upstarts Media, 2025"
Ada,AI-native,Customer-support automation,M,yes,"Wellows, 2026"
Forethought,AI-native,Support automation,M,yes,"CB Insights, 2025"
Cresta,AI-native,Contact-center intelligence,M,yes,"CB Insights, 2025"
PolyAI,AI-native,Voice customer service,M,yes,"CB Insights, 2025"
Parloa,AI-native,Contact-center AI,M,yes,"CB Insights, 2025"
Lorikeet,AI-native,Support agents,M,yes,"CB Insights, 2025"
Abridge,AI-native,Clinical documentation,M,yes,"OpenAI, 2026"
Ambience Healthcare,AI-native,Clinical documentation,M,yes,"OpenAI, 2026"
Suki,AI-native,Clinical voice assistant,M,yes,"CB Insights, 2025"
Nabla,AI-native,Clinical documentation,M,yes,"CB Insights, 2025"
OpenEvidence,AI-native,Clinical decision support,M,yes,"CB Insights, 2025"
Hippocratic AI,AI-native,Healthcare agents (own model),O,no,"CB Insights, 2025"
Heidi Health,AI-native,Clinical scribe,M,yes,"CB Insights, 2025"
Commure,AI-native,Healthcare operations AI,M,yes,"CB Insights, 2025"
Clay,AI-native,Sales / GTM data,M,yes,"OpenAI, 2026"
11x,AI-native,AI sales reps,M,yes,"CB Insights, 2025"
Artisan,AI-native,AI sales reps,M,yes,"CB Insights, 2025"
AiSDR,AI-native,Sales outreach,M,yes,"CB Insights, 2025"
Nooks,AI-native,Sales calling platform,M,yes,"CB Insights, 2025"
Rogo,AI-native,Financial-analysis AI,M,yes,"CB Insights, 2025"
Basis,AI-native,Accounting agents,M,yes,"CB Insights, 2025"
Numeric,AI-native,Accounting close,M,yes,"CB Insights, 2025"
Granola,AI-native,AI meeting notes,M,yes,"Fortune, 2026"
Otter.ai,AI-native,Meeting transcription,M,yes,"Fortune, 2026"
Fireflies.ai,AI-native,Meeting transcription,M,yes,"Fortune, 2026"
Fathom,AI-native,Meeting notes,M,yes,"Wellows, 2026"
Read AI,AI-native,Meeting intelligence,M,yes,"Wellows, 2026"
Mem,AI-native,AI note-taking,M,yes,"Wellows, 2026"
Tana,AI-native,AI knowledge workspace,M,yes,"Wellows, 2026"
Midjourney,AI-native,Image generation (own models),O,no,"CB Insights, 2025"
Runway,AI-native,Video generation (own models),O,no,"CB Insights, 2025"
Pika,AI-native,Video generation (own models),O,no,"CB Insights, 2025"
Luma AI,AI-native,Video/3D generation (own),O,no,"CB Insights, 2025"
Ideogram,AI-native,Image generation (own model),O,no,"CB Insights, 2025"
Leonardo.AI,AI-native,Image generation,O,yes,"CB Insights, 2025"
Recraft,AI-native,Design image generation,O,yes,"CB Insights, 2025"
Krea,AI-native,Creative image/video,M,no,"CB Insights, 2025"
ElevenLabs,AI-native,Voice / audio (own models),O,no,"CB Insights, 2025"
Suno,AI-native,Music generation (own models),O,no,"CB Insights, 2025"
Udio,AI-native,Music generation (own models),O,no,"CB Insights, 2025"
Synthesia,AI-native,AI video avatars,M,yes,"CB Insights, 2025"
HeyGen,AI-native,AI video avatars,M,yes,"CB Insights, 2025"
Descript,AI-native,Audio/video editing,M,yes,"Wellows, 2026"
Captions,AI-native,Short-form video,M,yes,"CB Insights, 2025"
Photoroom,AI-native,Image editing,M,yes,"Wellows, 2026"
Gamma,AI-native,AI presentations,M,yes,"Wellows, 2026"
Galileo AI (Stitch),AI-native,UI design generation,M,yes,"CB Insights, 2025"
Manus,AI-native,General autonomous agent,M,yes,"Fast Company, 2025"
Lindy,AI-native,Personal AI agents,M,yes,"CB Insights, 2025"
MultiOn,AI-native,Web-action agents,M,yes,"CB Insights, 2025"
Relevance AI,AI-native,Agent workforce platform,M,no,"CB Insights, 2025"
Genspark,AI-native,Agentic search,M,yes,"CB Insights, 2025"
Character.AI,AI-native,Consumer companions (own models),O,no,"CB Insights, 2025"
Replika,AI-native,Consumer companion,M,yes,"Wellows, 2026"
Quora (Poe),AI-native,Multi-model chat aggregator,M,no,"Wellows, 2026"
Khan Academy (Khanmigo),AI-native,Education tutor,S,no,"Wellows, 2026"
Speak,AI-native,Language learning,M,yes,"CB Insights, 2025"
MagicSchool AI,AI-native,Education (teachers),M,yes,"CB Insights, 2025"
Microsoft 365 Copilot,Incumbent,Office productivity,M,no,"Microsoft, 2026"
GitHub Copilot,Incumbent,Coding assistant,M,no,"Microsoft, 2026"
Microsoft Nuance DAX,Incumbent,Clinical documentation,M,yes,"Microsoft, 2026"
Google Workspace (Gemini),Incumbent,Productivity,M,yes,"Northflank, 2026"
Salesforce (Agentforce),Incumbent,CRM / agents,M,yes,"Northflank, 2026"
Notion AI,Incumbent,Productivity workspace,M,no,"Notion, 2025"
Atlassian (Rovo),Incumbent,Dev / collaboration,M,yes,"Wellows, 2026"
ServiceNow (Now Assist),Incumbent,ITSM / workflow,M,yes,"Wellows, 2026"
HubSpot (Breeze),Incumbent,CRM / marketing,M,yes,"Wellows, 2026"
Adobe (Firefly / Acrobat AI),Incumbent,Creative tools (own + partners),O,yes,"Wellows, 2026"
Canva (Magic Studio),Incumbent,Design,M,yes,"Wellows, 2026"
Grammarly,Incumbent,Writing assistance,M,yes,"Wellows, 2026"
Intercom (Fin),Incumbent,Customer support,M,yes,"Wellows, 2026"
Zendesk (AI),Incumbent,Customer support,M,yes,"Wellows, 2026"
Freshworks (Freddy),Incumbent,CRM / support,M,yes,"Wellows, 2026"
Zoom (AI Companion),Incumbent,Communications,M,yes,"Wellows, 2026"
Slack (AI),Incumbent,Collaboration,M,yes,"Wellows, 2026"
SAP (Joule),Incumbent,ERP / enterprise,M,yes,"Northflank, 2026"
Workday (AI),Incumbent,HCM / finance,M,yes,"Northflank, 2026"
Oracle (Fusion AI),Incumbent,ERP / database,M,yes,"Northflank, 2026"
Box (AI),Incumbent,Content management,M,yes,"Wellows, 2026"
Dropbox (Dash),Incumbent,File / search,M,yes,"Wellows, 2026"
Asana (AI),Incumbent,Work management,M,yes,"Wellows, 2026"
Atlassian Jira / Confluence,Incumbent,Work management,M,yes,"Wellows, 2026"
Figma (AI / Make),Incumbent,Design,M,yes,"Wellows, 2026"
Airtable (AI),Incumbent,Database / apps,M,yes,"Wellows, 2026"
Miro (AI),Incumbent,Whiteboarding,M,yes,"Wellows, 2026"
Shopify (Sidekick / Magic),Incumbent,E-commerce,M,yes,"Wellows, 2026"
Stripe (AI),Incumbent,Payments / fraud,M,yes,"Northflank, 2026"
Klarna (assistant),Incumbent,Fintech support,S,yes,"Wellows, 2026"
Duolingo (Max),Incumbent,Language learning,S,yes,"Wellows, 2026"
Quizlet (Q-Chat),Incumbent,Education,M,yes,"Wellows, 2026"
Coursera (Coach),Incumbent,Education,M,yes,"Wellows, 2026"
Chegg,Incumbent,Education,S,yes,"Wellows, 2026"
Thomson Reuters (CoCounsel),Incumbent,Legal research,M,yes,"CB Insights, 2025"
LexisNexis (Lexis+ AI),Incumbent,Legal research,M,yes,"CB Insights, 2025"
Bloomberg (BloombergGPT),Incumbent,Built own LLM; off-the-shelf outperformed,O,no,"Fast Company, 2025"
GitLab (Duo),Incumbent,DevOps,M,yes,"Northflank, 2026"
DocuSign (IAM / AI),Incumbent,Agreements,M,yes,"Wellows, 2026"
Twilio (AI),Incumbent,Communications APIs,M,yes,"Northflank, 2026"
ServiceTitan (AI),Incumbent,Field-service software,M,yes,"Wellows, 2026"
Wendy's (FreshAI),Incumbent,Drive-thru ordering,M,yes,"Wellows, 2026"
Spotify (AI DJ),Incumbent,Consumer audio,M,yes,"Wellows, 2026"
Reddit (Answers),Incumbent,Consumer social,M,yes,"Wellows, 2026"
Instacart (AI),Incumbent,E-commerce / grocery,S,yes,"Wellows, 2026"
Expedia (assistant),Incumbent,Travel,S,yes,"Wellows, 2026"
DeepL,Incumbent,Translation (own models),O,no,"CB Insights, 2025"
Zed,AI-native,AI code editor,M,yes,"CB Insights, 2025"
Warp,AI-native,AI terminal,M,yes,"CB Insights, 2025"
CodeRabbit,AI-native,AI code review (SME),M,yes,"Y Combinator, 2026"
Greptile,AI-native,AI code review / search (SME),M,yes,"Y Combinator, 2026"
Graphite,AI-native,Code-review platform,M,yes,"CB Insights, 2025"
Trae (ByteDance),AI-native,AI IDE,M,yes,"Northflank, 2026"
Mintlify,AI-native,AI documentation (SME),M,yes,"Y Combinator, 2026"
Phind,AI-native,Developer answer engine,M,yes,"CB Insights, 2025"
Consensus,AI-native,Science / research search,M,yes,"CB Insights, 2025"
Elicit,AI-native,Research assistant,M,yes,"CB Insights, 2025"
SciSpace,AI-native,Research assistant (SME),M,yes,"Wellows, 2026"
Eve,AI-native,Plaintiff legal AI,M,yes,"CB Insights, 2025"
Leya,AI-native,Legal workflow AI,M,yes,"CB Insights, 2025"
Garfield AI,AI-native,Legal automation (SME),M,yes,"CB Insights, 2025"
Crosby,AI-native,AI contracts / legal (SME),M,yes,"Y Combinator, 2026"
Freed,AI-native,Clinical scribe (SME),M,yes,"CB Insights, 2025"
Tennr,AI-native,Healthcare workflow AI,M,yes,"Y Combinator, 2026"
Corti,AI-native,Clinical voice AI,M,yes,"CB Insights, 2025"
Rox,AI-native,AI sales agents,M,yes,"CB Insights, 2025"
Unify GTM,AI-native,GTM automation,M,yes,"CB Insights, 2025"
Landbase,AI-native,GTM agent platform,M,yes,"CB Insights, 2025"
Persana AI,AI-native,Sales prospecting (SME),M,yes,"Wellows, 2026"
Tabs,AI-native,AR / billing automation (SME),M,yes,"Y Combinator, 2026"
Puzzle,AI-native,AI accounting (SME),M,yes,"CB Insights, 2025"
Digits,AI-native,AI accounting,M,yes,"CB Insights, 2025"
Rillet,AI-native,AI-native ERP / accounting (SME),M,yes,"Y Combinator, 2026"
Campfire,AI-native,AI accounting / ERP (SME),M,yes,"Y Combinator, 2026"
Gumloop,AI-native,No-code AI automation (SME),M,yes,"Y Combinator, 2026"
Bardeen,AI-native,Workflow-automation agents,M,yes,"CB Insights, 2025"
Lutra,AI-native,Agentic workflows (SME),M,yes,"Y Combinator, 2026"
Wordware,AI-native,Agent IDE (SME),M,yes,"Y Combinator, 2026"
Cognosys,AI-native,Autonomous agents (SME),M,yes,"CB Insights, 2025"
Khoj,AI-native,Personal AI assistant (OSS),M,yes,"Y Combinator, 2026"
Cartesia,AI-native,Voice models (own),O,no,"CB Insights, 2025"
Hume AI,AI-native,Emotion / voice models (own),O,no,"CB Insights, 2025"
Vapi,AI-native,Voice-agent platform (SME),M,yes,"Y Combinator, 2026"
Retell AI,AI-native,Voice-agent platform (SME),M,yes,"Y Combinator, 2026"
Bland AI,AI-native,Voice-agent platform,M,yes,"CB Insights, 2025"
Black Forest Labs (Flux),Provider,Open image models,O,no,"CB Insights, 2025"
Kuaishou (Kling),Provider,Video models,O,no,"Bloomberg, 2025"
Moonvalley,AI-native,Video models (own),O,no,"CB Insights, 2025"
Higgsfield,AI-native,AI video,O,yes,"CB Insights, 2025"
Hedra,AI-native,AI video avatars (SME),O,yes,"Y Combinator, 2026"
Genmo (Mochi),AI-native,Open video models,O,no,"CB Insights, 2025"
Haiper,AI-native,AI video (own models),O,no,"CB Insights, 2025"
Reve,AI-native,Image generation (own model),O,no,"CB Insights, 2025"
Limitless,AI-native,Wearable AI assistant,M,yes,"CB Insights, 2025"
Friend,AI-native,AI companion wearable (SME),M,yes,"CB Insights, 2025"
Rabbit,AI-native,Consumer AI device,M,yes,"CB Insights, 2025"
Plaud,AI-native,AI voice recorder,M,yes,"Wellows, 2026"
EliseAI,AI-native,Real-estate / housing AI,M,yes,"CB Insights, 2025"
Buildots,AI-native,Construction computer vision,O,yes,"CB Insights, 2025"
Sixfold,AI-native,Insurance underwriting AI (SME),M,yes,"CB Insights, 2025"
Mercor,AI-native,AI hiring / data marketplace,M,yes,"CB Insights, 2025"
Metaview,AI-native,Recruiting-notes AI (SME),M,yes,"Y Combinator, 2026"
Listen Labs,AI-native,AI user research (SME),M,yes,"Y Combinator, 2026"
Hex (Magic),AI-native,Analytics workspace + AI,M,yes,"CB Insights, 2025"
Julius AI,AI-native,AI data analysis (SME),M,yes,"Wellows, 2026"
AdCreative.ai,AI-native,AI ad creative (SME),M,yes,"Wellows, 2026"
Creatify,AI-native,AI video ads (SME),M,yes,"Wellows, 2026"
Icon,AI-native,AI ad production (SME),M,yes,"CB Insights, 2025"
Browserbase,Infrastructure,Headless browser for agents,M,no,"CB Insights, 2025"
Browser Use,Infrastructure,Browser-agent framework (OSS),M,no,"Y Combinator, 2026"
Firecrawl,Infrastructure,Web data for LLMs (SME),M,no,"Y Combinator, 2026"
Skyvern,Infrastructure,Browser-automation agents (OSS),M,no,"Y Combinator, 2026"
Apify,Infrastructure,Web scraping / agents,M,yes,"Northflank, 2026"
Mem0,Infrastructure,Agent memory layer (SME),M,no,"Y Combinator, 2026"
Zep,Infrastructure,Agent memory / context,M,no,"CB Insights, 2025"
Letta (MemGPT),Infrastructure,Agent memory framework,M,no,"CB Insights, 2025"
LlamaCloud,Infrastructure,Parsing / RAG (LlamaIndex),M,no,"CB Insights, 2025"
Reducto,Infrastructure,Document parsing (SME),M,no,"Y Combinator, 2026"
Ragie,Infrastructure,RAG-as-a-service (SME),M,no,"Y Combinator, 2026"
Exa,Infrastructure,Search API for AI,M,no,"CB Insights, 2025"
Tavily,Infrastructure,Search API for agents (SME),M,no,"Y Combinator, 2026"
Predibase,Infrastructure,Fine-tuning / serving,M,no,"CB Insights, 2025"
OpenPipe,Infrastructure,Fine-tuning platform (SME),M,no,"Y Combinator, 2026"
Ragas,Infrastructure,RAG evaluation (OSS),M,no,"CB Insights, 2025"
Opik (Comet),Infrastructure,LLM eval / observability,M,no,"CB Insights, 2025"
Prompt Security,Infrastructure,LLM security (SME),M,no,"CB Insights, 2025"
Pillar Security,Infrastructure,AI security (SME),M,yes,"CB Insights, 2025"
VAST Data,Infrastructure,AI data platform,M,yes,"Forbes AI 50, 2025"
Deepgram,Infrastructure,Speech-to-text models,O,no,"CB Insights, 2025"
AssemblyAI,Infrastructure,Speech AI models,O,no,"CB Insights, 2025"
LiveKit,Infrastructure,Realtime voice/video infra,M,yes,"Northflank, 2026"
Speechmatics,Infrastructure,Speech recognition,O,no,"Wellows, 2026"
Marqo,Infrastructure,Vector / multimodal search,M,yes,"Northflank, 2026"
Nomic AI,Infrastructure,Embeddings / data maps,O,no,"CB Insights, 2025"
Jina AI,Infrastructure,Embeddings / multimodal,O,no,"Northflank, 2026"
Voyage AI,Infrastructure,Embeddings (retrieval),O,no,"CB Insights, 2025"
Cleanlab,Infrastructure,Data quality for AI,M,yes,"Wellows, 2026"
Encord,Infrastructure,Data labeling / eval,M,yes,"CB Insights, 2025"
SuperAnnotate,Infrastructure,Data labeling / RLHF,M,yes,"Wellows, 2026"
Fiddler AI,Infrastructure,ML / LLM observability,M,yes,"Northflank, 2026"
WhyLabs,Infrastructure,ML / LLM observability,M,yes,"Wellows, 2026"
Lamini,Infrastructure,Enterprise LLM platform,M,yes,"CB Insights, 2025"
Modular,Infrastructure,AI inference engine (MAX),M,yes,"Northflank, 2026"
Credal,Infrastructure,Enterprise AI data security,M,yes,"Y Combinator, 2026"
Tracecat,Infrastructure,Security automation (AI),M,yes,"Y Combinator, 2026"
Abnormal Security,Infrastructure,Email security AI,M,yes,"CB Insights, 2025"
Cyera,Infrastructure,Data security posture (AI),M,yes,"CB Insights, 2025"
Dropzone AI,Infrastructure,SOC analyst agents,M,yes,"Wellows, 2026"
Maven AGI,AI-native,Customer support agents,M,yes,"CB Insights, 2025"
Crescendo,AI-native,Customer support AI,M,yes,"Wellows, 2026"
Ada,AI-native,Customer service automation,M,yes,"Northflank, 2026"
Gradient Labs,AI-native,Support agents (regulated),M,yes,"Y Combinator, 2026"
Observe.AI,AI-native,Contact-center AI,M,yes,"CB Insights, 2025"
Replicant,AI-native,Voice customer service,M,yes,"Wellows, 2026"
Wonderful,AI-native,Customer support agents,M,yes,"Wellows, 2026"
Pylon,AI-native,B2B customer support,M,yes,"Y Combinator, 2026"
Regie.ai,AI-native,Sales content agents,M,yes,"Wellows, 2026"
Tektonic AI,AI-native,GTM operations agents,M,yes,"Wellows, 2026"
Clearbrief,AI-native,Legal writing / citations,M,yes,"Wellows, 2026"
Definely,AI-native,Contract drafting,M,yes,"CB Insights, 2025"
Wordsmith,AI-native,In-house legal AI,M,yes,"Y Combinator, 2026"
Augmedix,AI-native,Clinical documentation,M,yes,"CB Insights, 2025"
Sardine,AI-native,Fraud / risk AI,M,yes,"CB Insights, 2025"
Norm Ai,AI-native,Regulatory compliance agents,M,yes,"CB Insights, 2025"
Greenlite,AI-native,Compliance / AML agents,M,yes,"Y Combinator, 2026"
Sedric AI,AI-native,Compliance monitoring,M,yes,"Wellows, 2026"
Micro1,AI-native,AI recruiting / vetting,M,yes,"Wellows, 2026"
