name,segment,vertical_role,posture,segment_typical_coding,indic_aipdi,source,paper_ref
CoreWeave,Infrastructure,GPU cloud,M†,yes,35,"CB Insights, 2025",[43]
Lambda,Infrastructure,GPU cloud,M†,yes,35,"CB Insights, 2025",[43]
Crusoe,Infrastructure,GPU cloud,M†,yes,35,"CB Insights, 2025",[43]
Together AI,Infrastructure,Open-model inference,M,no,35,"Northflank, 2026",[3]
Fireworks AI,Infrastructure,Model inference,M,no,35,"Northflank, 2026",[3]
Replicate,Infrastructure,Model hosting / inference,M,no,35,"Merge.dev, 2025",[58]
Baseten,Infrastructure,Model serving,M,no,35,"CB Insights, 2025",[43]
Modal,Infrastructure,Serverless compute,M†,yes,35,"CB Insights, 2025",[43]
Anyscale (Ray),Infrastructure,Distributed compute,M†,yes,35,"CB Insights, 2025",[43]
OctoAI,Infrastructure,Model inference,M,no,35,"Merge.dev, 2025",[58]
RunPod,Infrastructure,GPU cloud,M†,yes,35,"Northflank, 2026",[3]
AWS Bedrock,Infrastructure,Multi-model cloud platform,M,no,35,"Harvey, 2025",[51]
Microsoft Azure AI Foundry,Infrastructure,Multi-model cloud platform,M,no,35,"Microsoft, 2026",[57]
Google Vertex AI,Infrastructure,Multi-model cloud platform,M,no,35,"Harvey, 2025",[51]
Oracle OCI Generative AI,Infrastructure,Multi-model cloud platform,M†,yes,35,"Northflank, 2026",[3]
IBM watsonx,Infrastructure,Multi-model cloud platform,M,no,35,"Northflank, 2026",[3]
Snowflake Cortex,Infrastructure,In-warehouse multi-model AI,M,no,35,"Northflank, 2026",[3]
Cloudflare Workers AI,Infrastructure,Edge multi-model platform,M,no,35,"Merge.dev, 2025",[58]
LiteLLM,Infrastructure,Open-source model gateway,M,no,35,"Merge.dev, 2025",[58]
OpenRouter,Infrastructure,Managed model router,M,no,35,"Merge.dev, 2025",[58]
Portkey,Infrastructure,Enterprise AI gateway,M,no,35,"Portkey, 2025",[61]
Cloudflare AI Gateway,Infrastructure,Model gateway,M,no,35,"Merge.dev, 2025",[58]
Vercel AI Gateway / SDK,Infrastructure,Model gateway / SDK,M,no,35,"altar.io, 2026",[55]
Kong AI Gateway,Infrastructure,API/model gateway,M†,yes,35,"Northflank, 2026",[3]
Martian,Infrastructure,Model router,M,no,35,"CB Insights, 2025",[43]
Not Diamond,Infrastructure,Model router,M,no,35,"CB Insights, 2025",[43]
Unify,Infrastructure,Model router,M,no,35,"Merge.dev, 2025",[58]
TrueFoundry,Infrastructure,LLM gateway / MLOps,M,no,35,"TrueFoundry, 2025",[65]
Eden AI,Infrastructure,Multi-provider API,M,no,35,"Merge.dev, 2025",[58]
LangChain,Infrastructure,Orchestration framework,M,no,35,"Andreessen Horowitz, 2023",[2]
LlamaIndex,Infrastructure,Data/orchestration framework,M,no,35,"Andreessen Horowitz, 2023",[2]
Haystack (deepset),Infrastructure,Orchestration framework,M†,yes,35,"CB Insights, 2025",[43]
Microsoft Semantic Kernel,Infrastructure,Orchestration SDK,M,no,35,"Microsoft, 2026",[57]
CrewAI,Infrastructure,Multi-agent framework,M†,yes,35,"CB Insights, 2025",[43]
AutoGen (Microsoft),Infrastructure,Multi-agent framework,M,no,35,"Microsoft, 2026",[57]
DSPy (Stanford),Infrastructure,Prompt/program framework,M†,yes,35,"Andreessen Horowitz, 2023",[2]
Flowise,Infrastructure,Low-code agent builder,M†,yes,35,"CB Insights, 2025",[43]
Langflow,Infrastructure,Low-code agent builder,M†,yes,35,"CB Insights, 2025",[43]
Dify,Infrastructure,LLM app platform,M,no,35,"CB Insights, 2025",[43]
n8n,Infrastructure,Workflow automation (AI),M,no,35,"CB Insights, 2025",[43]
Pinecone,Infrastructure,Vector database,M†,yes,35,"Andreessen Horowitz, 2023",[2]
Weaviate,Infrastructure,Vector database,M†,yes,35,"Andreessen Horowitz, 2023",[2]
Chroma,Infrastructure,Vector database,M†,yes,35,"CB Insights, 2025",[43]
Qdrant,Infrastructure,Vector database,M†,yes,35,"CB Insights, 2025",[43]
Zilliz / Milvus,Infrastructure,Vector database,M†,yes,35,"CB Insights, 2025",[43]
Turbopuffer,Infrastructure,Vector store,M,no,35,"Notion, 2025",[34]
LanceDB,Infrastructure,Vector database,M†,yes,35,"CB Insights, 2025",[43]
Vespa,Infrastructure,Search / retrieval engine,M†,yes,35,"CB Insights, 2025",[43]
MongoDB Atlas Vector,Infrastructure,Vector search,M†,yes,35,"Northflank, 2026",[3]
Redis (vector),Infrastructure,Vector search,M†,yes,35,"Northflank, 2026",[3]
LangSmith,Infrastructure,LLM observability / eval,M,no,35,"Andreessen Horowitz, 2023",[2]
Langfuse,Infrastructure,LLM observability (OSS),M,no,35,"CB Insights, 2025",[43]
Helicone,Infrastructure,LLM observability / gateway,M,no,35,"Merge.dev, 2025",[58]
Braintrust,Infrastructure,Eval / observability,M,no,35,"CB Insights, 2025",[43]
Arize (Phoenix),Infrastructure,ML/LLM observability,M,no,35,"CB Insights, 2025",[43]
Weights & Biases,Infrastructure,Experiment tracking / eval,M,no,35,"CB Insights, 2025",[43]
Humanloop,Infrastructure,Prompt mgmt / eval,M,no,35,"CB Insights, 2025",[43]
Vellum,Infrastructure,LLM dev platform,M,no,35,"CB Insights, 2025",[43]
Galileo,Infrastructure,LLM evaluation,M,no,35,"CB Insights, 2025",[43]
Patronus AI,Infrastructure,LLM evaluation,M,no,35,"CB Insights, 2025",[43]
Scale AI,Infrastructure,Data labeling / RLHF,M†,yes,35,"CB Insights, 2025",[43]
Surge AI,Infrastructure,Data labeling / RLHF,M†,yes,35,"CB Insights, 2025",[43]
Labelbox,Infrastructure,Data labeling,M†,yes,35,"CB Insights, 2025",[43]
Snorkel AI,Infrastructure,Programmatic data / tuning,M†,yes,35,"CB Insights, 2025",[43]
Unstructured,Infrastructure,Document ingestion (RAG),M†,yes,35,"CB Insights, 2025",[43]
Vectara,Infrastructure,RAG-as-a-service,M,no,35,"CB Insights, 2025",[43]
Contextual AI,Infrastructure,Enterprise RAG platform,M,no,35,"CB Insights, 2025",[43]
Hugging Face,Infrastructure,Open-model hub,O†,yes,28,"Northflank, 2026",[3]
Ollama,Infrastructure,Local model runtime,O†,yes,28,"Northflank, 2026",[3]
vLLM,Infrastructure,Inference serving engine,O†,yes,28,"CB Insights, 2025",[43]
Lakera,Infrastructure,LLM security / guardrails,M,no,35,"CB Insights, 2025",[43]
Guardrails AI,Infrastructure,Output validation (OSS),M,no,35,"CB Insights, 2025",[43]
Protect AI,Infrastructure,AI/ML security,M†,yes,35,"CB Insights, 2025",[43]
HiddenLayer,Infrastructure,AI security,M†,yes,35,"CB Insights, 2025",[43]
Cursor (Anysphere),AI-native,Coding assistant,M,no,55,"Upstarts Media, 2025",[50]
Windsurf (Codeium),AI-native,Coding assistant,S,no,90,"TechCrunch, 2025",[62]
Replit Agent,AI-native,App builder,M,no,55,"altar.io, 2026",[55]
Cognition (Devin),AI-native,Autonomous coding agent,M†,yes,55,"TechTalks, 2025",[63]
Aider,AI-native,CLI coding assistant,M,no,55,"altar.io, 2026",[55]
Continue,AI-native,Open-source coding assistant,M,no,55,"altar.io, 2026",[55]
Cline,AI-native,Agentic coding (OSS),M,no,55,"altar.io, 2026",[55]
Tabnine,AI-native,Coding assistant,M,no,55,"Wellows, 2026",[44]
Sourcegraph Cody,AI-native,Coding assistant,M,no,55,"Wellows, 2026",[44]
Augment Code,AI-native,Coding assistant,M†,yes,55,"CB Insights, 2025",[43]
Qodo (CodiumAI),AI-native,Code integrity / testing,M†,yes,55,"CB Insights, 2025",[43]
Magic.dev,AI-native,Code-generation models,O,no,45,"CB Insights, 2025",[43]
Poolside,AI-native,Code-generation models,O,no,45,"CB Insights, 2025",[43]
Factory AI,AI-native,Agentic software dev,M†,yes,55,"CB Insights, 2025",[43]
Lovable,AI-native,App builder,M†,yes,55,"altar.io, 2026",[55]
Bolt (StackBlitz),AI-native,App builder,M†,yes,55,"altar.io, 2026",[55]
v0 (Vercel),AI-native,App builder,M†,yes,55,"altar.io, 2026",[55]
Base44 (Wix),AI-native,App builder,M,no,55,"altar.io, 2026",[55]
Create.xyz,AI-native,App builder,M†,yes,55,"altar.io, 2026",[55]
Jasper,AI-native,Marketing copywriting,M,no,55,"The Information, 2023",[48]
Copy.ai,AI-native,Marketing / GTM copy,M†,yes,55,"Wellows, 2026",[44]
Writesonic,AI-native,Marketing copywriting,M†,yes,55,"Wellows, 2026",[44]
Rytr,AI-native,Writing assistant,M†,yes,55,"Wellows, 2026",[44]
Sudowrite,AI-native,Fiction writing,M†,yes,55,"Wellows, 2026",[44]
Writer,AI-native,Enterprise writing (own models),O,no,45,"Wellows, 2026",[44]
Typeface,AI-native,Enterprise content,M†,yes,55,"CB Insights, 2025",[43]
Jenni AI,AI-native,Academic writing,M†,yes,55,"Wellows, 2026",[44]
Anyword,AI-native,Marketing copy,M†,yes,55,"Wellows, 2026",[44]
Perplexity,AI-native,Answer engine / search,M,no,55,"Upstarts Media, 2025",[50]
Glean,AI-native,Enterprise search / agents,M†,yes,55,"Wellows, 2026",[44]
Hebbia,AI-native,Document intelligence (finance),M†,yes,55,"CB Insights, 2025",[43]
You.com,AI-native,Answer engine / search,M,no,55,"CB Insights, 2025",[43]
Dashworks,AI-native,Enterprise knowledge assistant,M†,yes,55,"Wellows, 2026",[44]
Sana AI,AI-native,Enterprise knowledge / learning,M†,yes,55,"CB Insights, 2025",[43]
Dust,AI-native,Enterprise agent platform,M,no,55,"CB Insights, 2025",[43]
Harvey,AI-native,Legal AI,M,no,55,"Harvey, 2025",[51]
Robin AI,AI-native,Contract AI,M†,yes,55,"CB Insights, 2025",[43]
Spellbook,AI-native,Contract drafting,M†,yes,55,"CB Insights, 2025",[43]
Luminance,AI-native,Legal document analysis,M†,yes,55,"CB Insights, 2025",[43]
EvenUp,AI-native,Personal-injury legal AI,M†,yes,55,"CB Insights, 2025",[43]
Legora,AI-native,Collaborative legal AI,M†,yes,55,"CB Insights, 2025",[43]
DraftWise,AI-native,Contract drafting,M†,yes,55,"CB Insights, 2025",[43]
Decagon,AI-native,Customer-support agents,M†,yes,55,"Upstarts Media, 2025",[50]
Sierra,AI-native,Customer-experience agents,M†,yes,55,"Upstarts Media, 2025",[50]
Ada,AI-native,Customer-support automation,M†,yes,55,"Wellows, 2026",[44]
Forethought,AI-native,Support automation,M†,yes,55,"CB Insights, 2025",[43]
Cresta,AI-native,Contact-center intelligence,M†,yes,55,"CB Insights, 2025",[43]
PolyAI,AI-native,Voice customer service,M†,yes,55,"CB Insights, 2025",[43]
Parloa,AI-native,Contact-center AI,M†,yes,55,"CB Insights, 2025",[43]
Lorikeet,AI-native,Support agents,M†,yes,55,"CB Insights, 2025",[43]
Abridge,AI-native,Clinical documentation,M†,yes,55,"OpenAI, 2026",[66]
Ambience Healthcare,AI-native,Clinical documentation,M†,yes,55,"OpenAI, 2026",[66]
Suki,AI-native,Clinical voice assistant,M†,yes,55,"CB Insights, 2025",[43]
Nabla,AI-native,Clinical documentation,M†,yes,55,"CB Insights, 2025",[43]
OpenEvidence,AI-native,Clinical decision support,M†,yes,55,"CB Insights, 2025",[43]
Hippocratic AI,AI-native,Healthcare agents (own model),O,no,45,"CB Insights, 2025",[43]
Heidi Health,AI-native,Clinical scribe,M†,yes,55,"CB Insights, 2025",[43]
Commure,AI-native,Healthcare operations AI,M†,yes,55,"CB Insights, 2025",[43]
Clay,AI-native,Sales / GTM data,M†,yes,55,"OpenAI, 2026",[66]
11x,AI-native,AI sales reps,M†,yes,55,"CB Insights, 2025",[43]
Artisan,AI-native,AI sales reps,M†,yes,55,"CB Insights, 2025",[43]
AiSDR,AI-native,Sales outreach,M†,yes,55,"CB Insights, 2025",[43]
Nooks,AI-native,Sales calling platform,M†,yes,55,"CB Insights, 2025",[43]
Rogo,AI-native,Financial-analysis AI,M†,yes,55,"CB Insights, 2025",[43]
Basis,AI-native,Accounting agents,M†,yes,55,"CB Insights, 2025",[43]
Numeric,AI-native,Accounting close,M†,yes,55,"CB Insights, 2025",[43]
Granola,AI-native,AI meeting notes,M†,yes,55,"Fortune, 2026",[29]
Otter.ai,AI-native,Meeting transcription,M†,yes,55,"Fortune, 2026",[29]
Fireflies.ai,AI-native,Meeting transcription,M†,yes,55,"Fortune, 2026",[29]
Fathom,AI-native,Meeting notes,M†,yes,55,"Wellows, 2026",[44]
Read AI,AI-native,Meeting intelligence,M†,yes,55,"Wellows, 2026",[44]
Mem,AI-native,AI note-taking,M†,yes,55,"Wellows, 2026",[44]
Tana,AI-native,AI knowledge workspace,M†,yes,55,"Wellows, 2026",[44]
Midjourney,AI-native,Image generation (own models),O,no,45,"CB Insights, 2025",[43]
Runway,AI-native,Video generation (own models),O,no,45,"CB Insights, 2025",[43]
Pika,AI-native,Video generation (own models),O,no,45,"CB Insights, 2025",[43]
Luma AI,AI-native,Video/3D generation (own),O,no,45,"CB Insights, 2025",[43]
Ideogram,AI-native,Image generation (own model),O,no,45,"CB Insights, 2025",[43]
Leonardo.AI,AI-native,Image generation,O†,yes,45,"CB Insights, 2025",[43]
Recraft,AI-native,Design image generation,O†,yes,45,"CB Insights, 2025",[43]
Krea,AI-native,Creative image/video,M,no,55,"CB Insights, 2025",[43]
ElevenLabs,AI-native,Voice / audio (own models),O,no,45,"CB Insights, 2025",[43]
Suno,AI-native,Music generation (own models),O,no,45,"CB Insights, 2025",[43]
Udio,AI-native,Music generation (own models),O,no,45,"CB Insights, 2025",[43]
Synthesia,AI-native,AI video avatars,M†,yes,55,"CB Insights, 2025",[43]
HeyGen,AI-native,AI video avatars,M†,yes,55,"CB Insights, 2025",[43]
Descript,AI-native,Audio/video editing,M†,yes,55,"Wellows, 2026",[44]
Captions,AI-native,Short-form video,M†,yes,55,"CB Insights, 2025",[43]
Photoroom,AI-native,Image editing,M†,yes,55,"Wellows, 2026",[44]
Gamma,AI-native,AI presentations,M†,yes,55,"Wellows, 2026",[44]
Galileo AI (Stitch),AI-native,UI design generation,M†,yes,55,"CB Insights, 2025",[43]
Manus,AI-native,General autonomous agent,M†,yes,55,"Fast Company, 2025",[54]
Lindy,AI-native,Personal AI agents,M†,yes,55,"CB Insights, 2025",[43]
MultiOn,AI-native,Web-action agents,M†,yes,55,"CB Insights, 2025",[43]
Relevance AI,AI-native,Agent workforce platform,M,no,55,"CB Insights, 2025",[43]
Genspark,AI-native,Agentic search,M†,yes,55,"CB Insights, 2025",[43]
Character.AI,AI-native,Consumer companions (own models),O,no,45,"CB Insights, 2025",[43]
Replika,AI-native,Consumer companion,M†,yes,55,"Wellows, 2026",[44]
Quora (Poe),AI-native,Multi-model chat aggregator,M,no,55,"Wellows, 2026",[44]
Khan Academy (Khanmigo),AI-native,Education tutor,S,no,90,"Wellows, 2026",[44]
Speak,AI-native,Language learning,M†,yes,55,"CB Insights, 2025",[43]
MagicSchool AI,AI-native,Education (teachers),M†,yes,55,"CB Insights, 2025",[43]
Microsoft 365 Copilot,Incumbent,Office productivity,M,no,30,"Microsoft, 2026",[57]
GitHub Copilot,Incumbent,Coding assistant,M,no,30,"Microsoft, 2026",[57]
Microsoft Nuance DAX,Incumbent,Clinical documentation,M†,yes,30,"Microsoft, 2026",[57]
Google Workspace (Gemini),Incumbent,Productivity,M†,yes,30,"Northflank, 2026",[3]
Salesforce (Agentforce),Incumbent,CRM / agents,M†,yes,30,"Northflank, 2026",[3]
Notion AI,Incumbent,Productivity workspace,M,no,30,"Notion, 2025",[34]
Atlassian (Rovo),Incumbent,Dev / collaboration,M†,yes,30,"Wellows, 2026",[44]
ServiceNow (Now Assist),Incumbent,ITSM / workflow,M†,yes,30,"Wellows, 2026",[44]
HubSpot (Breeze),Incumbent,CRM / marketing,M†,yes,30,"Wellows, 2026",[44]
Adobe (Firefly / Acrobat AI),Incumbent,Creative tools (own + partners),O†,yes,26,"Wellows, 2026",[44]
Canva (Magic Studio),Incumbent,Design,M†,yes,30,"Wellows, 2026",[44]
Grammarly,Incumbent,Writing assistance,M†,yes,30,"Wellows, 2026",[44]
Intercom (Fin),Incumbent,Customer support,M†,yes,30,"Wellows, 2026",[44]
Zendesk (AI),Incumbent,Customer support,M†,yes,30,"Wellows, 2026",[44]
Freshworks (Freddy),Incumbent,CRM / support,M†,yes,30,"Wellows, 2026",[44]
Zoom (AI Companion),Incumbent,Communications,M†,yes,30,"Wellows, 2026",[44]
Slack (AI),Incumbent,Collaboration,M†,yes,30,"Wellows, 2026",[44]
SAP (Joule),Incumbent,ERP / enterprise,M†,yes,30,"Northflank, 2026",[3]
Workday (AI),Incumbent,HCM / finance,M†,yes,30,"Northflank, 2026",[3]
Oracle (Fusion AI),Incumbent,ERP / database,M†,yes,30,"Northflank, 2026",[3]
Box (AI),Incumbent,Content management,M†,yes,30,"Wellows, 2026",[44]
Dropbox (Dash),Incumbent,File / search,M†,yes,30,"Wellows, 2026",[44]
Asana (AI),Incumbent,Work management,M†,yes,30,"Wellows, 2026",[44]
Atlassian Jira / Confluence,Incumbent,Work management,M†,yes,30,"Wellows, 2026",[44]
Figma (AI / Make),Incumbent,Design,M†,yes,30,"Wellows, 2026",[44]
Airtable (AI),Incumbent,Database / apps,M†,yes,30,"Wellows, 2026",[44]
Miro (AI),Incumbent,Whiteboarding,M†,yes,30,"Wellows, 2026",[44]
Shopify (Sidekick / Magic),Incumbent,E-commerce,M†,yes,30,"Wellows, 2026",[44]
Stripe (AI),Incumbent,Payments / fraud,M†,yes,30,"Northflank, 2026",[3]
Klarna (assistant),Incumbent,Fintech support,S†,yes,42,"Wellows, 2026",[44]
Duolingo (Max),Incumbent,Language learning,S†,yes,42,"Wellows, 2026",[44]
Quizlet (Q-Chat),Incumbent,Education,M†,yes,30,"Wellows, 2026",[44]
Coursera (Coach),Incumbent,Education,M†,yes,30,"Wellows, 2026",[44]
Chegg,Incumbent,Education,S†,yes,42,"Wellows, 2026",[44]
Thomson Reuters (CoCounsel),Incumbent,Legal research,M†,yes,30,"CB Insights, 2025",[43]
LexisNexis (Lexis+ AI),Incumbent,Legal research,M†,yes,30,"CB Insights, 2025",[43]
Bloomberg (BloombergGPT),Incumbent,Built own LLM; off-the-shelf outperformed,O,no,26,"Fast Company, 2025",[54]
GitLab (Duo),Incumbent,DevOps,M†,yes,30,"Northflank, 2026",[3]
DocuSign (IAM / AI),Incumbent,Agreements,M†,yes,30,"Wellows, 2026",[44]
Twilio (AI),Incumbent,Communications APIs,M†,yes,30,"Northflank, 2026",[3]
ServiceTitan (AI),Incumbent,Field-service software,M†,yes,30,"Wellows, 2026",[44]
Wendy's (FreshAI),Incumbent,Drive-thru ordering,M†,yes,30,"Wellows, 2026",[44]
Spotify (AI DJ),Incumbent,Consumer audio,M†,yes,30,"Wellows, 2026",[44]
Reddit (Answers),Incumbent,Consumer social,M†,yes,30,"Wellows, 2026",[44]
Instacart (AI),Incumbent,E-commerce / grocery,S†,yes,42,"Wellows, 2026",[44]
Expedia (assistant),Incumbent,Travel,S†,yes,42,"Wellows, 2026",[44]
DeepL,Incumbent,Translation (own models),O,no,26,"CB Insights, 2025",[43]
Zed,AI-native,AI code editor,M†,yes,55,"CB Insights, 2025",[43]
Warp,AI-native,AI terminal,M†,yes,55,"CB Insights, 2025",[43]
CodeRabbit,AI-native,AI code review (SME),M†,yes,55,"Y Combinator, 2026",[67]
Greptile,AI-native,AI code review / search (SME),M†,yes,55,"Y Combinator, 2026",[67]
Graphite,AI-native,Code-review platform,M†,yes,55,"CB Insights, 2025",[43]
Trae (ByteDance),AI-native,AI IDE,M†,yes,55,"Northflank, 2026",[3]
Mintlify,AI-native,AI documentation (SME),M†,yes,55,"Y Combinator, 2026",[67]
Phind,AI-native,Developer answer engine,M†,yes,55,"CB Insights, 2025",[43]
Consensus,AI-native,Science / research search,M†,yes,55,"CB Insights, 2025",[43]
Elicit,AI-native,Research assistant,M†,yes,55,"CB Insights, 2025",[43]
SciSpace,AI-native,Research assistant (SME),M†,yes,55,"Wellows, 2026",[44]
Eve,AI-native,Plaintiff legal AI,M†,yes,55,"CB Insights, 2025",[43]
Leya,AI-native,Legal workflow AI,M†,yes,55,"CB Insights, 2025",[43]
Garfield AI,AI-native,Legal automation (SME),M†,yes,55,"CB Insights, 2025",[43]
Crosby,AI-native,AI contracts / legal (SME),M†,yes,55,"Y Combinator, 2026",[67]
Freed,AI-native,Clinical scribe (SME),M†,yes,55,"CB Insights, 2025",[43]
Tennr,AI-native,Healthcare workflow AI,M†,yes,55,"Y Combinator, 2026",[67]
Corti,AI-native,Clinical voice AI,M†,yes,55,"CB Insights, 2025",[43]
Rox,AI-native,AI sales agents,M†,yes,55,"CB Insights, 2025",[43]
Unify GTM,AI-native,GTM automation,M†,yes,55,"CB Insights, 2025",[43]
Landbase,AI-native,GTM agent platform,M†,yes,55,"CB Insights, 2025",[43]
Persana AI,AI-native,Sales prospecting (SME),M†,yes,55,"Wellows, 2026",[44]
Tabs,AI-native,AR / billing automation (SME),M†,yes,55,"Y Combinator, 2026",[67]
Puzzle,AI-native,AI accounting (SME),M†,yes,55,"CB Insights, 2025",[43]
Digits,AI-native,AI accounting,M†,yes,55,"CB Insights, 2025",[43]
Rillet,AI-native,AI-native ERP / accounting (SME),M†,yes,55,"Y Combinator, 2026",[67]
Campfire,AI-native,AI accounting / ERP (SME),M†,yes,55,"Y Combinator, 2026",[67]
Gumloop,AI-native,No-code AI automation (SME),M†,yes,55,"Y Combinator, 2026",[67]
Bardeen,AI-native,Workflow-automation agents,M†,yes,55,"CB Insights, 2025",[43]
Lutra,AI-native,Agentic workflows (SME),M†,yes,55,"Y Combinator, 2026",[67]
Wordware,AI-native,Agent IDE (SME),M†,yes,55,"Y Combinator, 2026",[67]
Cognosys,AI-native,Autonomous agents (SME),M†,yes,55,"CB Insights, 2025",[43]
Khoj,AI-native,Personal AI assistant (OSS),M†,yes,55,"Y Combinator, 2026",[67]
Cartesia,AI-native,Voice models (own),O,no,45,"CB Insights, 2025",[43]
Hume AI,AI-native,Emotion / voice models (own),O,no,45,"CB Insights, 2025",[43]
Vapi,AI-native,Voice-agent platform (SME),M†,yes,55,"Y Combinator, 2026",[67]
Retell AI,AI-native,Voice-agent platform (SME),M†,yes,55,"Y Combinator, 2026",[67]
Bland AI,AI-native,Voice-agent platform,M†,yes,55,"CB Insights, 2025",[43]
Black Forest Labs (Flux),Provider,Open image models,O,no,10,"CB Insights, 2025",[43]
Kuaishou (Kling),Provider,Video models,O,no,10,"Bloomberg, 2025",[45]
Moonvalley,AI-native,Video models (own),O,no,45,"CB Insights, 2025",[43]
Higgsfield,AI-native,AI video,O†,yes,45,"CB Insights, 2025",[43]
Hedra,AI-native,AI video avatars (SME),O†,yes,45,"Y Combinator, 2026",[67]
Genmo (Mochi),AI-native,Open video models,O,no,45,"CB Insights, 2025",[43]
Haiper,AI-native,AI video (own models),O,no,45,"CB Insights, 2025",[43]
Reve,AI-native,Image generation (own model),O,no,45,"CB Insights, 2025",[43]
Limitless,AI-native,Wearable AI assistant,M†,yes,55,"CB Insights, 2025",[43]
Friend,AI-native,AI companion wearable (SME),M†,yes,55,"CB Insights, 2025",[43]
Rabbit,AI-native,Consumer AI device,M†,yes,55,"CB Insights, 2025",[43]
Plaud,AI-native,AI voice recorder,M†,yes,55,"Wellows, 2026",[44]
EliseAI,AI-native,Real-estate / housing AI,M†,yes,55,"CB Insights, 2025",[43]
Buildots,AI-native,Construction computer vision,O†,yes,45,"CB Insights, 2025",[43]
Sixfold,AI-native,Insurance underwriting AI (SME),M†,yes,55,"CB Insights, 2025",[43]
Mercor,AI-native,AI hiring / data marketplace,M†,yes,55,"CB Insights, 2025",[43]
Metaview,AI-native,Recruiting-notes AI (SME),M†,yes,55,"Y Combinator, 2026",[67]
Listen Labs,AI-native,AI user research (SME),M†,yes,55,"Y Combinator, 2026",[67]
Hex (Magic),AI-native,Analytics workspace + AI,M†,yes,55,"CB Insights, 2025",[43]
Julius AI,AI-native,AI data analysis (SME),M†,yes,55,"Wellows, 2026",[44]
AdCreative.ai,AI-native,AI ad creative (SME),M†,yes,55,"Wellows, 2026",[44]
Creatify,AI-native,AI video ads (SME),M†,yes,55,"Wellows, 2026",[44]
Icon,AI-native,AI ad production (SME),M†,yes,55,"CB Insights, 2025",[43]
Browserbase,Infrastructure,Headless browser for agents,M,no,35,"CB Insights, 2025",[43]
Browser Use,Infrastructure,Browser-agent framework (OSS),M,no,35,"Y Combinator, 2026",[67]
Firecrawl,Infrastructure,Web data for LLMs (SME),M,no,35,"Y Combinator, 2026",[67]
Skyvern,Infrastructure,Browser-automation agents (OSS),M,no,35,"Y Combinator, 2026",[67]
Apify,Infrastructure,Web scraping / agents,M†,yes,35,"Northflank, 2026",[3]
Mem0,Infrastructure,Agent memory layer (SME),M,no,35,"Y Combinator, 2026",[67]
Zep,Infrastructure,Agent memory / context,M,no,35,"CB Insights, 2025",[43]
Letta (MemGPT),Infrastructure,Agent memory framework,M,no,35,"CB Insights, 2025",[43]
LlamaCloud,Infrastructure,Parsing / RAG (LlamaIndex),M,no,35,"CB Insights, 2025",[43]
Reducto,Infrastructure,Document parsing (SME),M,no,35,"Y Combinator, 2026",[67]
